Unnamed: 0,subj1,subj2,expected-consistency,observed-consistency,cohens-kappa,condition
1896,age3-,ResNeXt101_32x16d_swsl-,0.9333333333333332,0.9333333333333332,0.0,10-12 vs. DNNs
1901,age3-,resnext101_32x8d-,0.9333333333333332,0.9333333333333332,0.0,10-12 vs. DNNs
1904,age3-,swag_regnety_128gf_in1k-,0.9333333333333332,0.9333333333333332,0.0,10-12 vs. DNNs
1909,age3-,age3-,0.95,0.95,0.0,10-12 vs. 10-12
1910,age3-,age3-,0.905,0.9,-0.05263157894736848,10-12 vs. 10-12
1911,age3-,age2-,0.95,0.95,0.0,7-9 vs. 10-12
1912,age3-,age2-,0.96,0.96,0.0,7-9 vs. 10-12
1913,age3-,age3-,0.905,0.9,-0.05263157894736848,10-12 vs. 10-12
1914,age3-,age5-,0.96,0.96,0.0,10-12 vs. Adults
1915,age3-,age5-,0.96,0.96,0.0,10-12 vs. Adults
1916,age3-,age5-,0.9232,0.92,-0.04166666666666643,10-12 vs. Adults
1949,age3-,vgg19-,0.9232,0.92,-0.04166666666666643,10-12 vs. DNNs
1950,age3-,BiTM_resnetv2_152x2-,0.9232,0.92,-0.04166666666666643,10-12 vs. DNNs
1957,age3-,ResNeXt101_32x16d_swsl-,0.96,0.96,0.0,10-12 vs. DNNs
1962,age3-,resnext101_32x8d-,0.9232,0.92,-0.04166666666666643,10-12 vs. DNNs
1965,age3-,swag_regnety_128gf_in1k-,0.96,0.96,0.0,10-12 vs. DNNs
1970,age3-,age3-,0.95,0.95,0.0,10-12 vs. 10-12
1971,age3-,age2-,1.0,1.0,1.0,7-9 vs. 10-12
1972,age3-,age2-,1.0,1.0,1.0,7-9 vs. 10-12
1973,age3-,age3-,0.95,0.95,0.0,10-12 vs. 10-12
1974,age3-,age5-,1.0,1.0,1.0,10-12 vs. Adults
1975,age3-,age5-,1.0,1.0,1.0,10-12 vs. Adults
1976,age3-,age5-,0.95,0.95,0.0,10-12 vs. Adults
2009,age3-,vgg19-,0.95,0.95,0.0,10-12 vs. DNNs
2010,age3-,BiTM_resnetv2_152x2-,0.95,0.95,0.0,10-12 vs. DNNs
2017,age3-,ResNeXt101_32x16d_swsl-,1.0,1.0,1.0,10-12 vs. DNNs
2022,age3-,resnext101_32x8d-,0.95,0.95,0.0,10-12 vs. DNNs
2025,age3-,swag_regnety_128gf_in1k-,1.0,1.0,1.0,10-12 vs. DNNs
2030,age3-,age2-,0.95,0.95,0.0,7-9 vs. 10-12
2031,age3-,age2-,0.96,0.96,0.0,7-9 vs. 10-12
2032,age3-,age3-,0.905,0.9,-0.05263157894736848,10-12 vs. 10-12
2033,age3-,age5-,0.96,0.96,0.0,10-12 vs. Adults
2034,age3-,age5-,0.96,0.96,0.0,10-12 vs. Adults
2035,age3-,age5-,0.9232,1.0,1.0,10-12 vs. Adults
2068,age3-,vgg19-,0.8864,0.88,-0.056338028169013725,10-12 vs. DNNs
2069,age3-,BiTM_resnetv2_152x2-,0.9232,0.92,-0.04166666666666643,10-12 vs. DNNs
2076,age3-,ResNeXt101_32x16d_swsl-,0.96,0.96,0.0,10-12 vs. DNNs
2081,age3-,resnext101_32x8d-,0.9232,1.0,1.0,10-12 vs. DNNs
2084,age3-,swag_regnety_128gf_in1k-,0.96,0.96,0.0,10-12 vs. DNNs
2089,age2-,age2-,0.8825000000000001,0.925,0.3617021276595745,7-9 vs. 7-9
2090,age2-,age3-,0.95,0.95,0.0,7-9 vs. 10-12
2091,age2-,age5-,0.92,0.95,0.3749999999999991,7-9 vs. Adults
2092,age2-,age5-,0.92,0.9166666666666666,-0.04166666666666765,7-9 vs. Adults
2093,age2-,age5-,0.86,0.8833333333333333,0.16666666666666655,7-9 vs. Adults
2126,age2-,vgg19-,0.935,0.9333333333333332,-0.025641025641024502,7-9 vs. DNNs
2127,age2-,BiTM_resnetv2_152x2-,0.935,0.9333333333333332,-0.025641025641024502,7-9 vs. DNNs
2134,age2-,ResNeXt101_32x16d_swsl-,0.95,0.95,0.0,7-9 vs. DNNs
2139,age2-,resnext101_32x8d-,0.935,0.9333333333333332,-0.025641025641024502,7-9 vs. DNNs
2143,age2-,swag_regnety_128gf_in1k-,0.95,0.95,0.0,7-9 vs. DNNs
